常用频道,#genre#
广州番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv?fbl=
汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8
汕尾文化生活,https://iswtv.swrtv.com/live/whshpd.m3u8
亚洲新闻台HD,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?checkedby:iptvcat.net
CCTV16 4K,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV164K
CCTV4K,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV4K
CCTV8K,http://140.210.9.18:8800/SuanFaZhibo/live7/ysp.php?id=CCTV8K
央视,#genre#
cctv1,http://tv.sohu.blog/d/ysxw.php?id=cctv1
cctv2,http://tv.sohu.blog/d/ysxw.php?id=cctv2
cctv3,http://cctv.sohu.blog/hls/cctv3.m3u8
cctv4,http://cctv.sohu.blog/hls/cctv4.m3u8
cctv5,http://cctv.sohu.blog/hls/cctv5.m3u8
cctv5+,http://cctv.sohu.blog/hls/cctv5p.m3u8
cctv6,http://cctv.sohu.blog/hls/cctv6.m3u8
cctv7,http://cctv.sohu.blog/hls/cctv7.m3u8
cctv8,http://cctv.sohu.blog/hls/cctv8.m3u8
cctv9,http://cctv.sohu.blog/hls/cctv9.m3u8
cctv10,http://cctv.sohu.blog/hls/cctv10.m3u8
cctv11,http://cctv.sohu.blog/hls/cctv11.m3u8
cctv12,http://cctv.sohu.blog/hls/cctv12.m3u8
cctv13,http://cctv.sohu.blog/hls/cctv13.m3u8
cctv14,http://cctv.sohu.blog/hls/cctv14.m3u8
cctv15,http://cctv.sohu.blog/hls/cctv15.m3u8
cctv16,http://cctv.sohu.blog/hls/cctv16.m3u8
cctv17,http://cctv.sohu.blog/hls/cctv17.m3u8
4K,#genre# 
湖南卫视4K超高清,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
北京卫视4k,http://140.210.9.18:8800/SuanFaZhibo/live5/beijing/beijing.php?id=bjws4k
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
江苏卫视4K,http://js.sohu.blog/jstv.php?id=jsws4k
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
河北4K,http://2099.tv12.xyz/11_1764828864661.m3u8
深圳卫视4k,http://gd.sohu.blog/hls/szws4k.m3u8 
四川卫视4K,http://115.29.208.41/sctv.php?id=10
广东卫视4K,http://115.190.252.60/gdtouch.php?id=2567
CCTV5 体育4K,http://2099.tv12.xyz/3_1764828864661.m3u8
CCTV4K 超高清,http://2099.tv12.xyz/5_1764828864661.m3u8
CCTV8K 超高清,http://2099.tv12.xyz/6_1764828864661.m3u8

🇨🇳IPV6央卫,#genre#
CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225770/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225723/index.m3u8
CCTV2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/index.m3u8
CCTV3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/index.m3u8
CCTV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/index.m3u8
CCTV5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225734/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226146/index.m3u8
CCTV6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225741/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/index.m3u8
CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225701/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226137/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226143/index.m3u8
CCTV8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225736/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226167/index.m3u8
CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225743/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226169/index.m3u8
CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226101/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226145/index.m3u8
CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226103/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226125/index.m3u8
CCTV13,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226128/index.m3u8
CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225738/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226150/index.m3u8
CCTV15,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226147/index.m3u8
CCTV16,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226120/index.m3u8
江苏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225720/index.m3u8
黑龙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225722/index.m3u8
北京卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225724/index.m3u8
海南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226154/index.m3u8
东方卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225725/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226106/index.m3u8
湖南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225726/index.m3u8
浙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225727/index.m3u8
深圳卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225728/index.m3u8
湖北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225729/index.m3u8
广东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225731/index.m3u8
山东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225733/index.m3u8
安徽卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225739/index.m3u8
江西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225740/index.m3u8
天津卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225742/index.m3u8
东南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225745/index.m3u8
辽宁卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225747/index.m3u8
康巴卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225773/index.m3u8
厦门卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226008/index.m3u8
内蒙古卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226011/index.m3u8
吉林卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226082/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226149/index.m3u8
广西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226084/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226130/index.m3u8
西藏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226012/index.m3u8
陕西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226086/index.m3u8
新疆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226088/index.m3u8
甘肃卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226090/index.m3u8
宁夏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226092/index.m3u8
青海卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226105/index.m3u8
河北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226107/index.m3u8
10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226109/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226151/index.m3u8
兵团卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226111/index.m3u8
山西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226113/index.m3u8
河南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226132/index.m3u8
四川卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226152/index.m3u8
重庆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226171/index.m3u8
贵州卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226173/index.m3u8
五星体育,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225732/index.m3u8
第一财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225737/index.m3u8
东方影视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225744/index.m3u8
金色学堂,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225748/index.m3u8
都市都市,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225749/index.m3u8
都市剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225762/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226155/index.m3u8
动漫秀场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225764/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226138/index.m3u8
不知道,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225767/index.m3u8
生活时尚,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225768/index.m3u8
欢笑剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225771/index.m3u8
CETV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225775/index.m3u8
法治天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/index.m3u8
CGTN,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226016/index.m3u8
少儿频道,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226019/index.m3u8
卡通动画,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226021/index.m3u8
86,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226050/index.m3u8
87,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226069/index.m3u8
金鹰卡通,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226094/index.m3u8
动画,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226102/index.m3u8
乐游,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226115/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226157/index.m3u8
晴彩竞技,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226116/index.m3u8
游戏风云,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226117/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226140/index.m3u8
睛彩篮球,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226118/index.m3u8
咪咕体育111,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226123/index.m3u8
东方财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226134/index.m3u8
新闻综合,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226136/index.m3u8
睛彩广场舞,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226139/index.m3u8
CETV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226153/index.m3u8
哈哈炫动,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226161/index.m3u8#http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226175/index.m3u8

🇨🇳IPV6央卫2,#genre#
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CGTN,http://iptv.huuc.edu.cn/hls/cgtnhd.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
北京文艺,http://iptv.huuc.edu.cn/hls/btv2hd.m3u8
北京体育,http://iptv.huuc.edu.cn/hls/btv6hd.m3u8
北京影视,http://iptv.huuc.edu.cn/hls/btv4hd.m3u8
北京新闻,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
北京纪实,http://iptv.huuc.edu.cn/hls/btv11hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
金鹰纪实,http://iptv.huuc.edu.cn/hls/gedocu.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8

浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

央卫频道,#genre#
睛彩竞技高码,https://zby.130519.xyz/PLTV/11/224/3221226116/index.m3u8
睛彩篮球高码,https://zby.130519.xyz/PLTV/11/224/3221226118/index.m3u8
睛彩广场高码,https://zby.130519.xyz/PLTV/11/224/3221226139/index.m3u8
五星体育高码,https://zby.130519.xyz/PLTV/11/224/3221225732/index.m3u8
CCTV-01高码,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV-01高码,https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8
CCTV-01高码,https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8
CCTV-01高码,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8
CCTV-02高码,https://zby.130519.xyz/PLTV/11/224/3221226122/index.m3u8
CCTV-03高码,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8
CCTV-03高码,https://zby.130519.xyz/PLTV/11/224/3221226165/index.m3u8
CCTV-04高码,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8
CCTV-05高码,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8
CCTV-05高码,https://zby.130519.xyz/PLTV/11/224/3221226146/index.m3u8
CCTV-06高码,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8
CCTV-06高码,https://zby.130519.xyz/PLTV/11/224/3221226148/index.m3u8
CCTV-07高码,https://zby.130519.xyz/PLTV/11/224/3221225701/index.m3u8
CCTV-07高码,https://zby.130519.xyz/PLTV/11/224/3221226143/index.m3u8
CCTV-07高码,https://zby.130519.xyz/PLTV/11/224/3221226137/index.m3u8
CCTV-08高码,https://zby.130519.xyz/PLTV/11/224/3221225736/index.m3u8
CCTV-08高码,https://zby.130519.xyz/PLTV/11/224/3221226167/index.m3u8
CCTV-10高码,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8
CCTV-10高码,https://zby.130519.xyz/PLTV/11/224/3221226169/index.m3u8
CCTV-11高码,https://zby.130519.xyz/PLTV/11/224/3221226101/index.m3u8
CCTV-11高码,https://zby.130519.xyz/PLTV/11/224/3221226145/index.m3u8
CCTV-12高码,https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8
CCTV-12高码,https://zby.130519.xyz/PLTV/11/224/3221226126/index.m3u8
CCTV-13高码,https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8
CCTV-14高码,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8
CCTV-14高码,https://zby.130519.xyz/PLTV/11/224/3221226150/index.m3u8
CCTV-15高码,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8
CCTV-16高码,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8
CETV-01高码,https://zby.130519.xyz/PLTV/11/224/3221225775/index.m3u8
CETV-04高码,https://zby.130519.xyz/PLTV/11/224/3221226153/index.m3u8
北京卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225724/index.m3u8
东方卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225725/index.m3u8
东方卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226106/index.m3u8
浙江卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225727/index.m3u8
江苏卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225720/index.m3u8
湖南卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225726/index.m3u8
广东卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225731/index.m3u8
深圳卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225728/index.m3u8
天津卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225742/index.m3u8
安徽卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225739/index.m3u8
山东卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225733/index.m3u8
山西卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226113/index.m3u8
辽宁卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225747/index.m3u8
河北卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226107/index.m3u8
河南卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226132/index.m3u8
江西卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225740/index.m3u8
四川卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226152/index.m3u8
重庆卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226171/index.m3u8
贵州卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226173/index.m3u8
湖北卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225729/index.m3u8
广西卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226084/index.m3u8
广西卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226130/index.m3u8
云南卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226109/index.m3u8
云南卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226151/index.m3u8
东南卫视高码,https://zby.130519.xyz/PLTV/11/224/3221225745/index.m3u8
海南卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226154/index.m3u8
甘肃卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226090/index.m3u8
青海卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226105/index.m3u8
吉林卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226149/index.m3u8
吉林卫视高码,https://zby.130519.xyz/PLTV/11/224/3221226082/index.m3u8
黑龙江视高码,https://zby.130519.xyz/PLTV/11/224/3221225722/index.m3u8
东方影视高码,https://zby.130519.xyz/PLTV/11/224/3221225744/index.m3u8
东方财经高码,https://zby.130519.xyz/PLTV/11/224/3221226134/index.m3u8
第一财经高码,https://zby.130519.xyz/PLTV/11/224/3221225737/index.m3u8
上海都市高码,https://zby.130519.xyz/PLTV/11/224/3221225749/index.m3u8
都市剧场高码,https://zby.130519.xyz/PLTV/11/224/3221225762/index.m3u8
都市剧场高码,https://zby.130519.xyz/PLTV/11/224/3221226155/index.m3u8
欢笑剧场高码,https://zby.130519.xyz/PLTV/11/224/3221225771/index.m3u8
新闻综合高码,https://zby.130519.xyz/PLTV/11/224/3221226136/index.m3u8
金色学堂高码,https://zby.130519.xyz/PLTV/11/224/3221225748/index.m3u8
生活时尚高码,https://zby.130519.xyz/PLTV/11/224/3221225768/index.m3u8
法治天地高码,https://zby.130519.xyz/PLTV/11/224/3221225994/index.m3u8
游戏风云高码,https://zby.130519.xyz/PLTV/11/224/3221226117/index.m3u8
游戏风云高码,https://zby.130519.xyz/PLTV/11/224/3221226140/index.m3u8
乐游频道高码,https://zby.130519.xyz/PLTV/11/224/3221226157/index.m3u8
乐游频道高码,https://zby.130519.xyz/PLTV/11/224/3221226115/index.m3u8
哈哈炫动高码,https://zby.130519.xyz/PLTV/11/224/3221226161/index.m3u8
哈哈炫动高码,https://zby.130519.xyz/PLTV/11/224/3221226175/index.m3u8
动漫秀场高码,https://zby.130519.xyz/PLTV/11/224/3221225764/index.m3u8
动漫秀场高码,https://zby.130519.xyz/PLTV/11/224/3221226138/index.m3u8
卡酷少儿高码,https://zby.130519.xyz/PLTV/11/224/3221226019/index.m3u8
金鹰卡通高码,https://zby.130519.xyz/PLTV/11/224/3221226094/index.m3u8
特区粤央,#genre#
Plus综合频加,http://vallest.uk/livehttpplay?channel_id=30023
Plus综合频加,http://vallest.uk/livehttpplay?channel_id=20122
凤凰中文频加,http://vallest.uk/livehttpplay?channel_id=30014
凤凰中文频加,http://vallest.uk/livehttpplay?channel_id=20065
凤凰资讯频加,http://vallest.uk/livehttpplay?channel_id=30015
凤凰资讯频加,http://vallest.uk/livehttpplay?channel_id=20066
凤凰香港频加,http://vallest.uk/livehttpplay?channel_id=20067
凤凰香港频加,http://vallest.uk/livehttpplay?channel_id=30016
有线综合频加,http://vallest.uk/livehttpplay?channel_id=20152
无线新闻频加,http://vallest.uk/livehttpplay?channel_id=30024
无线翡翠频加,http://vallest.uk/livehttpplay?channel_id=20124
无线明珠频加,http://vallest.uk/livehttpplay?channel_id=30026
无线明珠频加,http://vallest.uk/livehttpplay?channel_id=20125
VIUTV粤频加,http://vallest.uk/livehttpplay?channel_id=30032
VIUTV粤频加,http://vallest.uk/livehttpplay?channel_id=20131
VIUTV英频加,http://vallest.uk/livehttpplay?channel_id=30033
VIUTV英频加,http://vallest.uk/livehttpplay?channel_id=20132
RTHK-31频加,http://vallest.uk/livehttpplay?channel_id=30066
RTHK-32频加,http://vallest.uk/livehttpplay?channel_id=30067
RTHK-32频加,http://vallest.uk/livehttpplay?channel_id=20203
RTHK-32频加,http://vallest.uk/livehttpplay?channel_id=30028
广东珠江频加,http://vallest.uk/livehttpplay?channel_id=20144
广东体育频加,http://vallest.uk/livehttpplay?channel_id=12028
广东体育频加,http://vallest.uk/livehttpplay?channel_id=20130
广东体育频加,http://vallest.uk/livehttpplay?channel_id=30031
广东戏曲频加,http://vallest.uk/livehttpplay?channel_id=20142
CCTV-05频加,http://vallest.uk/livehttpplay?channel_id=10107
CCTV-05频加,http://vallest.uk/livehttpplay?channel_id=20005
CCTV-05频加,http://vallest.uk/livehttpplay?channel_id=30003
CCTV-5+频加,http://vallest.uk/livehttpplay?channel_id=20006
CCTV-5+频加,http://vallest.uk/livehttpplay?channel_id=30004
CCTV-07频加,http://vallest.uk/livehttpplay?channel_id=20008
CCTV-15频加,http://vallest.uk/livehttpplay?channel_id=20016
CCTV-16频加,http://vallest.uk/livehttpplay?channel_id=20039
CCTV-4k频加,http://vallest.uk/livehttpplay?channel_id=30029
江苏卫视频加,http://vallest.uk/livehttpplay?channel_id=20326
深圳卫视频加,http://vallest.uk/livehttpplay?channel_id=20025
广东卫视频加,http://vallest.uk/livehttpplay?channel_id=20024
天津卫视频加,http://vallest.uk/livehttpplay?channel_id=20042
